ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_cond,foundation,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,tot_rms_abv_grd,functional,fireplaces,garage_type,garage_finish,garage_cars,garage_area,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_season_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,year_sold,sale_type,sale_condition,sale_price,longitude,latitude,id
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,72,10632,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Clear_Creek,Norm,Norm,OneFam,One_and_Half_Fin,Fair,1917,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,BrkTil,Fair,No,Unf,7,Unf,0,689,689,GasA,Good,N,SBrkr,725,499,1224,0,0,1,1,3,1,6,Mod,0,Detchd,Unf,1,180,Fair,Dirt_Gravel,0,0,248,0,0,0,No_Pool,No_Fence,None,0,1,2010,COD,Normal,107500,-93.658265,42.028256,211
Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,60,9900,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,South_and_West_of_Iowa_State_University,Norm,Norm,TwoFmCon,One_and_Half_Fin,Below_Average,1915,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,0,Fair,BrkTil,Typical,No,Rec,6,Unf,0,186,1212,GasA,Typical,N,SBrkr,1212,180,1392,1,0,1,0,3,1,6,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Dirt_Gravel,0,0,168,0,0,0,No_Pool,No_Fence,None,0,2,2010,ConLD,Normal,100000,-93.656924,42.026752,212
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11200,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,OneFam,One_Story,Fair,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Fair,CBlock,Typical,Mn,Unf,7,Unf,0,1250,1250,GasA,Excellent,Y,SBrkr,1298,0,1298,0,0,2,0,3,1,5,Typ,0,Detchd,Unf,2,504,Fair,Dirt_Gravel,0,144,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,COD,Normal,114000,-93.663367,42.025019,243
One_Story_1945_and_Older,Residential_Low_Density,67,8777,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Mod,Edwards,Feedr,Norm,OneFam,One_Story,Above_Average,1945,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Good,CBlock,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,N,SBrkr,640,0,640,0,0,1,0,2,1,5,Min1,0,Detchd,Unf,1,240,Typical,Dirt_Gravel,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLD,Normal,84900,-93.6783313,42.0203585,274
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,50,9140,Pave,No_Alley_Access,Regular,HLS,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_and_Half_Fin,Average,1921,1975,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,BrkTil,Typical,Mn,BLQ,2,Unf,0,321,629,GasA,Fair,Y,SBrkr,727,380,1107,0,0,1,0,2,1,5,Typ,0,Detchd,Unf,1,625,Typical,Paved,0,56,0,0,200,0,No_Pool,Minimum_Privacy,None,0,4,2010,COD,Normal,110000,-93.626689,42.021474,304
One_and_Half_Story_Finished_All_Ages,C_all,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Norm,Norm,OneFam,One_and_Half_Fin,Below_Average,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Good,CBlock,Typical,No,Unf,7,Unf,0,698,698,GasA,Typical,Y,FuseA,698,430,1128,0,0,1,0,2,1,6,Typ,0,Detchd,RFn,2,528,Typical,Paved,30,0,164,0,0,0,No_Pool,No_Fence,None,0,4,2010,COD,Abnorml,68400,-93.615272,42.021456,305
Duplex_All_Styles_and_Ages,Residential_Low_Density,0,12760,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Mitchell,Norm,Norm,Duplex,One_Story,Average,1976,1976,Gable,CompShg,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,1958,1958,GasA,Typical,Y,SBrkr,2048,0,2048,0,0,3,0,5,2,9,Typ,0,More_Than_Two_Types,Unf,2,776,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,ConLD,Normal,170000,-93.602002,41.994013,314
Two_Story_1946_and_Newer,Residential_Low_Density,92,12003,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Timberland,Norm,Norm,OneFam,Two_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,BrkFace,84,Typical,PConc,Typical,No,Unf,7,Unf,0,774,774,GasA,Excellent,Y,SBrkr,774,1194,1968,0,0,2,1,4,1,8,Typ,1,BuiltIn,Fin,3,680,Typical,Paved,0,75,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,New,Partial,269500,-93.649471,41.99353,319
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,82,11880,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,RRAn,Norm,OneFam,One_Story,Average,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,206,Typical,CBlock,Typical,No,ALQ,1,Unf,0,567,1271,GasA,Typical,Y,SBrkr,1601,0,1601,0,0,2,0,3,1,7,Typ,1,Attchd,RFn,2,478,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,COD,Abnorml,157000,-93.637289,42.050345,381
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142,Typical,CBlock,Typical,No,Unf,7,Unf,0,630,630,GasA,Typical,Y,SBrkr,630,672,1302,0,0,2,1,3,1,6,Typ,0,Detchd,Unf,1,280,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,COD,Abnorml,112000,-93.627565,42.051683,405
Two_Story_1946_and_Newer,Residential_Low_Density,104,13518,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Average,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,860,Typical,PConc,Typical,No,Unf,7,Unf,0,1926,1926,GasA,Excellent,Y,SBrkr,1966,1174,3140,0,0,3,1,4,1,11,Typ,2,BuiltIn,Fin,3,820,Typical,Paved,144,78,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,New,Partial,485000,-93.652716,42.063025,423
Two_Story_1946_and_Newer,Residential_Low_Density,95,12350,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Average,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,379,1365,GasA,Excellent,Y,SBrkr,1365,1325,2690,1,0,2,1,3,1,8,Typ,1,Attchd,RFn,3,864,Typical,Paved,0,197,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,New,Partial,398800,-93.653955,42.062994,428
Two_Story_1946_and_Newer,Residential_Low_Density,107,13891,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Average,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,424,Typical,PConc,Typical,Gd,Unf,7,Unf,0,1734,1734,GasA,Excellent,Y,SBrkr,1734,1088,2822,0,0,3,1,4,1,12,Typ,1,BuiltIn,RFn,3,1020,Typical,Paved,52,170,0,0,192,0,No_Pool,No_Fence,None,0,1,2009,New,Partial,582933,-93.657049,42.0623985,434
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,87,10367,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,284,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,724,1739,GasA,Excellent,Y,SBrkr,1743,0,1743,1,0,2,0,3,1,8,Typ,1,Attchd,RFn,3,927,Typical,Paved,168,45,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,ConLI,Normal,335000,-93.652884,42.061437,439
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,9541,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,268,Typical,PConc,Typical,No,Unf,7,Unf,0,1502,1502,GasA,Excellent,Y,SBrkr,1502,0,1502,0,0,2,0,3,1,7,Typ,0,Attchd,RFn,2,644,Typical,Paved,0,114,0,0,0,0,No_Pool,No_Fence,None,0,9,2009,New,Partial,233170,-93.643771,42.061404,447
One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,7390,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,TwnhsE,One_Story,Average,2008,2009,Hip,CompShg,MetalSd,MetalSd,BrkFace,308,Typical,PConc,Typical,No,GLQ,3,Unf,0,1084,1884,GasA,Excellent,Y,SBrkr,1884,0,1884,1,0,2,0,2,1,6,Typ,1,Attchd,Fin,2,649,Typical,Paved,231,90,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,New,Partial,320000,-93.654203999999993,42.057164,459
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,74,9612,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Feedr,Norm,OneFam,One_Story,Average,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72,Typical,PConc,Typical,No,Unf,7,Unf,0,1468,1468,GasA,Excellent,Y,SBrkr,1468,0,1468,0,0,2,0,3,1,6,Typ,1,Attchd,Fin,3,898,Typical,Paved,210,150,0,0,0,0,No_Pool,No_Fence,None,0,12,2009,New,Partial,244600,-93.644121,42.054282,507
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,90,7993,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2008,2009,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,1436,1436,GasA,Excellent,Y,SBrkr,1436,0,1436,0,0,2,0,3,1,6,Typ,0,Attchd,Fin,2,529,Typical,Paved,0,121,0,0,0,0,No_Pool,No_Fence,None,0,10,2009,New,Partial,225000,-93.650417,42.051645,518
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,72,8640,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,72,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,364,1300,GasA,Excellent,Y,SBrkr,1314,0,1314,1,0,2,0,3,1,6,Typ,0,Attchd,RFn,2,552,Typical,Paved,135,112,0,0,0,0,No_Pool,No_Fence,None,0,9,2009,New,Partial,229456,-93.650377,42.051648,519
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,65,8125,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,288,Typical,PConc,Typical,No,Unf,7,Unf,0,1836,1836,GasA,Excellent,Y,SBrkr,1836,0,1836,0,0,2,0,3,1,8,Typ,1,Attchd,Fin,2,517,Typical,Paved,0,175,0,0,0,0,No_Pool,No_Fence,None,0,10,2009,New,Partial,264500,-93.643752,42.051378,528
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,61,7328,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,One_Story,Average,2008,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,140,Typical,PConc,Typical,No,Unf,7,Unf,0,1450,1450,GasA,Excellent,Y,SBrkr,1450,0,1450,0,0,2,0,2,1,6,Typ,0,Attchd,RFn,3,788,Typical,Paved,0,93,0,0,0,0,No_Pool,No_Fence,None,0,2,2009,New,Partial,224243,-93.690402,42.037434,543
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,10994,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Sawyer_West,Norm,Norm,OneFam,One_Story,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,366,Typical,PConc,Good,No,GLQ,3,Unf,0,868,1844,GasA,Excellent,Y,SBrkr,1844,0,1844,1,0,2,0,2,1,7,Typ,1,Attchd,Fin,2,620,Typical,Paved,165,44,0,0,0,0,No_Pool,No_Fence,None,0,9,2009,COD,Abnorml,257000,-93.69139,42.03607,545
Two_Story_PUD_1946_and_Newer,Floating_Village_Residential,30,3000,Pave,Paved,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,TwnhsE,Two_Story,Average,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76,Typical,PConc,Typical,Av,GLQ,3,Unf,0,318,612,GasA,Excellent,Y,SBrkr,612,612,1224,0,0,2,1,2,1,4,Typ,0,Detchd,RFn,2,528,Typical,Paved,0,234,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,New,Partial,173733,-93.646338,42.048488,568
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1967,1967,Hip,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,1568,1568,GasA,Typical,Y,SBrkr,1568,0,1568,0,0,1,1,3,1,7,Typ,0,Attchd,Unf,2,440,Typical,Paved,160,40,0,0,0,0,No_Pool,No_Fence,None,0,3,2009,COD,Normal,143000,-93.627047,42.0467129,595
Two_Story_1946_and_Newer,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,Two_Story,Average,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,252,Typical,CBlock,Typical,No,ALQ,1,Unf,0,467,1165,GasA,Good,Y,SBrkr,1165,896,2061,0,1,2,1,4,1,8,Typ,1,Attchd,RFn,2,498,Typical,Paved,0,77,0,0,196,0,No_Pool,No_Fence,None,0,5,2009,COD,Abnorml,168500,-93.630714,42.044821,597
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,115,10500,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1964,1964,Gable,CompShg,HdBoard,HdBoard,Stone,144,Good,CBlock,Typical,No,LwQ,4,Unf,0,294,1292,GasA,Typical,Y,SBrkr,1292,0,1292,1,0,1,1,3,1,6,Typ,2,Detchd,Unf,2,520,Typical,Paved,0,32,0,0,92,0,No_Pool,No_Fence,None,0,7,2009,COD,Abnorml,145100,-93.6273127,42.0407264,608
Two_Family_conversion_All_Styles_and_Ages,Residential_Medium_Density,33,4456,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,TwoFmCon,Two_Story,Average,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,BrkTil,Typical,No,Unf,7,Unf,0,736,736,GasA,Good,Y,SBrkr,736,716,1452,0,0,2,0,2,3,8,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Dirt_Gravel,0,0,102,0,0,0,No_Pool,No_Fence,None,0,6,2009,New,Partial,113000,-93.618648,42.0296722,713
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,60,5400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,One_and_Half_Fin,Above_Average,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,BrkTil,Typical,No,Unf,7,Unf,0,972,972,GasA,Excellent,Y,SBrkr,1044,0,1480,0,0,1,0,3,1,6,Typ,0,Detchd,Unf,1,207,Typical,Paved,0,0,176,0,0,0,No_Pool,No_Fence,None,0,9,2009,ConLI,Family,119000,-93.608707,42.0272,725
Split_or_Multilevel,Residential_Low_Density,88,15312,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,SLvl,Average,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54,Typical,CBlock,Typical,Av,BLQ,2,Unf,0,550,1138,GasA,Excellent,Y,SBrkr,1138,0,1138,0,1,1,0,3,1,6,Typ,1,Attchd,RFn,2,480,Typical,Paved,0,0,0,0,140,0,No_Pool,Minimum_Privacy,None,0,3,2009,COD,Normal,148000,-93.666813,42.032302,779
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,10708,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Clear_Creek,Norm,Norm,OneFam,One_Story,Average,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,CBlock,Typical,No,LwQ,4,BLQ,768,470,1617,GasA,Excellent,Y,FuseA,1867,0,1867,1,0,1,0,2,1,7,Typ,3,Attchd,Fin,1,303,Typical,Paved,476,0,0,0,142,0,No_Pool,Good_Wood,None,0,11,2009,COD,Normal,190000,-93.666242,42.028468,786
Two_Story_1946_and_Newer,Residential_Low_Density,43,10667,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,CulDSac,Gtl,College_Creek,PosN,Norm,OneFam,Two_Story,Above_Average,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,Av,GLQ,3,ALQ,344,70,799,GasA,Excellent,Y,SBrkr,827,834,1661,1,0,2,1,3,1,6,Typ,1,Attchd,RFn,2,550,Typical,Paved,158,61,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,ConLw,Normal,212000,-93.690401,42.020817,839
