tibble,colname
wine,fixed_acidity
wine,volatile_acidity
wine,citric_acid
wine,residual_sugar
wine,chlorides
wine,free_sulfur_dioxide
wine,total_sulfur_dioxide
wine,density
wine,p_h
wine,sulphates
wine,alcohol
wine,quality
wine_performance,.metric
wine_performance,.estimator
wine_performance,.estimate
wine_pred,.pred
wine_raw,id
wine_raw,type
wine_raw,fixed_acidity
wine_raw,volatile_acidity
wine_raw,citric_acid
wine_raw,residual_sugar
wine_raw,chlorides
wine_raw,free_sulfur_dioxide
wine_raw,total_sulfur_dioxide
wine_raw,density
wine_raw,p_h
wine_raw,sulphates
wine_raw,alcohol
wine_raw,quality
wine_testing,type
wine_testing,fixed_acidity
wine_testing,volatile_acidity
wine_testing,citric_acid
wine_testing,residual_sugar
wine_testing,chlorides
wine_testing,free_sulfur_dioxide
wine_testing,total_sulfur_dioxide
wine_testing,density
wine_testing,p_h
wine_testing,sulphates
wine_testing,alcohol
wine_testing,quality
wine_testing_baked,fixed_acidity
wine_testing_baked,volatile_acidity
wine_testing_baked,citric_acid
wine_testing_baked,residual_sugar
wine_testing_baked,chlorides
wine_testing_baked,free_sulfur_dioxide
wine_testing_baked,total_sulfur_dioxide
wine_testing_baked,density
wine_testing_baked,p_h
wine_testing_baked,sulphates
wine_testing_baked,alcohol
wine_testing_baked,quality
wine_testing_baked,type_white
wine_testing_results,type
wine_testing_results,fixed_acidity
wine_testing_results,volatile_acidity
wine_testing_results,citric_acid
wine_testing_results,residual_sugar
wine_testing_results,chlorides
wine_testing_results,free_sulfur_dioxide
wine_testing_results,total_sulfur_dioxide
wine_testing_results,density
wine_testing_results,p_h
wine_testing_results,sulphates
wine_testing_results,alcohol
wine_testing_results,quality
wine_testing_results,.pred
wine_training,type
wine_training,fixed_acidity
wine_training,volatile_acidity
wine_training,citric_acid
wine_training,residual_sugar
wine_training,chlorides
wine_training,free_sulfur_dioxide
wine_training,total_sulfur_dioxide
wine_training,density
wine_training,p_h
wine_training,sulphates
wine_training,alcohol
wine_training,quality
wine_training_baked,fixed_acidity
wine_training_baked,volatile_acidity
wine_training_baked,citric_acid
wine_training_baked,residual_sugar
wine_training_baked,chlorides
wine_training_baked,free_sulfur_dioxide
wine_training_baked,total_sulfur_dioxide
wine_training_baked,density
wine_training_baked,p_h
wine_training_baked,sulphates
wine_training_baked,alcohol
wine_training_baked,quality
wine_training_baked,type_white
xgb_corr_fit,splits
xgb_corr_fit,id
xgb_corr_fit,.metrics
xgb_corr_fit,.notes
xgb_corr_fit,.predictions
xgb_corr_fit,.workflow
xgb_pca_fit,splits
xgb_pca_fit,id
xgb_pca_fit,.metrics
xgb_pca_fit,.notes
xgb_pca_fit,.predictions
xgb_pca_fit,.workflow
